target	type	state	attack_type_messy	date_messy	url	year_clean
Downers Grove, DuPage County	Government	Illinois	Hack	July 25th, 2016	http://www.chicagotribune.com/news/local/politics/ct-ron-sandack-resigns-illinois-house-20160724-story.html	2016
Kankakee County	Government	Illinois	Ransomware	March 4th, 2016	http://www.daily-journal.com/news/local/kankakee-county-computers-get-held-ransom-by-insidious-new-threat/article_d1112286-c54b-5ebf-b8b6-22331e55b86d.html	2016
 Cyberattackers Hit Data of 80k Fertility Patients, State of Illinois 	Medical	Illinois	"
Hacking, Data Breach
"	"
January 7th, 2022
"	https://threatpost.com/cyberattackers-data-80k-patients-fertility-centers-illinois/177467/	2022
 Hackers had access to OSF Healthcare's IT systems for 6 weeks before outage, Peoria County 	Medical	Illinois	"
Unknown, Data Breach
"	"
October 5th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/hacker-had-access-to-osf-healthcare-s-it-systems-for-6-weeks-before-outage.htm	2021
"
600,000 patients' info exposed in cyberattack on Illinois medical group, DuPage County
"	Medical	Illinois	"
Unknown, Data Breach
"	"
August 31st, 2021
"	https://www.beckershospitalreview.com/cybersecurity/600-000-patients-info-exposed-in-cyberattack-on-illinois-medical-group.html	2021
"
Malware Attack Exposes IL Health Centers' Patient and Staff PHI, Cook County
"	Medical	Illinois	"
Unknown, Malware
"	"
August 6th, 2021
"	https://healthitsecurity.com/news/malware-attack-exposes-il-health-centers-patient-and-staff-phi	2021
 Lake County Health Department Announces Two Data Breaches Impacting Nearly 25,000 Patients, Lake County	Medical	Illinois	"
Unknown, Data Breach
"	"
July 18th, 2021
"	https://www.lakemchenryscanner.com/2021/07/18/lake-county-health-department-announces-two-data-breaches-impacting-nearly-25000-patients/	2021
"
Cancer Treatment Centers of America Midwestern Regional Medical Center, Cook County
"	Medical	Illinois	"
Hacking, Data Breach
"	"
March 25th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/105-000-patients-affected-in-cancer-treatment-centers-employee-email-hack.html	2021
"
Southern Illinois University School of Medicine, Jackson County
"	Medical	Illinois	"
Hacking, Data Breach
"	"
March 11th, 2021
"	https://healthitsecurity.com/news/trillium-siu-medicine-added-to-tally-of-accellion-fta-breach-victims	2021
"
OSF Healthcare System, Peoria County
"	Medical	Illinois	"
Unknown, Data Breach
"	"
October 20th, 2020
"	https://www.databreaches.net/osf-healthcare-notifying-patients-of-the-blackbaud-incident/	2020
"
NorthShore University Health System, Cook County
"	Medical	Illinois	"
Unknown, Data Breach
"	"
September 11th, 2020
"	https://www.chicagotribune.com/business/ct-biz-northshore-data-breach-blackbaud-ransomware-20200908-qh755azaafhzlc5rqcqkthovva-story.html	2020
"
Northwestern Memorial Health Care, Cook County
"	Medical	Illinois	"
Unknown, Data Breach
"	"
September 3rd, 2020
"	https://www.beckershospitalreview.com/cybersecurity/blackbaud-ransomware-attack-affects-108-483-individuals-at-northwestern-memorial-spectrum-health.html	2020
"
R1 RCM, Cook County
"	Medical	Illinois	"
Unknown, Ransomware
"	"
August 14th, 2020
"	https://krebsonsecurity.com/2020/08/medical-debt-collection-firm-r1-rcm-hit-in-ransomware-attack/	2020
"
FHN Memorial Hospital, Stephenson County
"	Medical	Illinois	"
Phishing, Data Breach 
"	"
August, 3rd, 2020
"	https://www.journalstandard.com/news/20200803/fhn-notifies-patients-of-privacy-incident	
"
Carle Foundation Hospital, Champaign County
"	Medical	Illinois	"
Phishing, Data breach
"	"
September 14th, 2019
"	https://www.securitymagazine.com/articles/90921-carle-foundation-hospital-suffers-data-breach-due-to-phishing-attack	2019
Center for Vitreo-Retinal Diseases, Lake County	Medical	Illinois	Ransomware	November 29th, 2018 	https://www.databreaches.net/il-center-for-vitreo-retinal-diseases-notifies-more-than-20300-patients-after-ransomware-attack/	2018
Medspring Urgent Care, Cook County	Medical	Illinois	Phishing, Data Breach	August 9th, 2018	https://www.databreaches.net/tx-medspring-urgent-care-notifies-13000-patients-after-phishing-attack/	2018
"
Ransomware shuts down Lewis & Clark computers, Madison County
"	Education	Illinois	"
Unknown, Ransomware
"	"
November 24th, 2021
"	https://www.thetelegraph.com/news/article/Ransomware-shuts-down-Lewis-Clark-computers-16648346.php	2021
"
Niles Township High School District 219, Cook County
"	Education	Illinois	"
Hacking, Other
"	"
November 13th, 2020
"	https://www.journal-topics.com/articles/hackers-flood-dist-207-websites-email-with-hate-speech/	2020
"
Maine Township High School District 207 Website and emails, Cook County
"	Education	Illinois	"
Hacking, Other
"	"
November 13th, 2020
"	https://www.journal-topics.com/articles/hackers-flood-dist-207-websites-email-with-hate-speech/	2020
"
Heartland Community College, McLean County
"	Education	Illinois	"
Unknown, Malware
"	"
October 7th, 2020
"	https://www.pantagraph.com/news/local/education/heartland-community-college-working-with-consultants-on-cybersecurity-breach/article_5974cf5a-2628-58e0-b1d7-08d14bac2a48.html	2020
"
Columbia College, Cook County
"	Education	Illinois	"
Unknown, Malware
"	"
June 2nd, 2020
"	https://columbiachronicle.com/breaking-data-center-alerted-by-malicious-activity-six-applications-down	2020
"
Illinois Valley Community College, LaSalle County
"	Education	Illinois	"
Unknown, Malware
"	"
April 25th, 2020
"	https://www.1430wcmy.com/2020/04/25/email-class-registration-payroll-down-from-computer-hack-at-ivcc/	2020
"
College of DuPage, DuPage County
"	Education	Illinois	"
Unknown, Data Breach
"	"
March 16th, 2020
"	https://www.infosecurity-magazine.com/news/illinois-college-suffers-data/	2020
"
Crystal Lake Community High School District 155, McHenry County
"	Education	Illinois	"
Unknown, Ransomware
"	"
January 28th, 2020
"	https://www.nwherald.com/2020/01/28/district-155-system-access-limited-after-ransomware-attack-no-data-breach-officials-say/aqim4pp/	2020
"
Sycamore School District 427, DeKalb County
"	Education	Illinois	"
Unknown, Ransomware
"	"
December 3rd, 2019
"	https://www.daily-chronicle.com/2019/12/03/ransomware-attack-hits-sycamore-school-district-427/apeslaw/	2019
" 
Rockford Public Schools, Winnebago County 
"	Education	Illinois	"
Unknown, Ransomware 
"	" 
November 13th, 2019 
"	https://www.databreaches.net/il-rockford-public-schools-release-details-about-ransomware-attack/	2019
 Mount Zion School District, Macon County  	Education	Illinois	Hacking, Ransomware  	 February 14th, 2019 	https://herald-review.com/news/state-and-regional/crime-and-courts/foreign-hackers-infiltrate-mount-zion-school-district-computer-system-most/article_ee9376f3-85e9-53b7-a490-721660f2f151.html	2019
Peoria Notre Dame High School, Peoria County 	Education	Illinois	TDoS/DDoS	October 29th, 2018 	https://www.pjstar.com/news/20181029/fbi-investigating-cyber-attack-at-peoria-notre-dame-high-school	2018
Hoopeston Area School District, Vermilion County	Education	Illinois	Hacking, Other	September 3rd, 2018	https://www.databreaches.net/il-hoopeston-area-school-district-website-hacked-false-emergency-messages-sent-out/	2018
Pekin Community High School	Education	Illinois	Ransomware	April 27th, 2017	https://www.pjstar.com/news/20170426/pekin-high-school-subject-of-cyberattack	2017
Morton School District	Education	Illinois	Phishing	January 31st, 2017	http://www.centralillinoisproud.com/news/local-news/email-hack-affects-local-school-district/647809821	2017
"
Ransomware attack forces Indiana hospital to divert patients, Marion County
"	Safety	Indiana	"
Unknown, Ransomware
"	"
August 4th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-forces-indiana-hospital-to-divert-patients.html	2021
" 
Vigo County Sheriff’s Office & 911 Systems, Vigo County 
"	Safety	Indiana	"
Unknown, Malware 
"	" 
August 6th, 2019 
"	https://www.wlfi.com/content/news/Sheriffs-office-in-western-Indiana-affected-by-malware-523052091.html	2019
Madison County	Safety	Indiana	Ransomware	November 5th, 2016	http://www.wishtv.com/news/madison-co-government-servers-fall-victim-to-hackers-ransomware/1064252393	2016
"
Elkhart deputy city attorney hacked, Elkhart County
 "	Government	Indiana	"
Hacking, Other
"	"
August 6th, 2021
"	https://www.abc57.com/news/elkhart-deputy-city-attorney-hacked	2021
"
Cyber attack hits Marion County Public Health Department 2 weeks after Eskenazi Health 
"	Government	Indiana	"
Unknown, Malware
"	"
August 18th, 2021
"	https://fox59.com/news/eskenazi-health-diverting-ambulances-as-cyber-attack-investigation-continues/	2021
"
Gary, Indiana targeted by ransomware attack
"	Government	Indiana	"
Unknown, Ransomware
"	"
May 13th, 2021
"	https://abc7chicago.com/gary-ind-targeted-by-ransomware-attack/10625374/	2021
"
Kokomo-Howard Public Library, Howard County
"	Government	Indiana	"
Unknown, Ransomware
"	"
February 9th, 2021
"	http://kokomoperspective.com/kp/news/library-hit-with-ransomware-attack/article_aa2c67cc-6a4d-11eb-95f5-fb96634fb05e.html	2021
"
Lawrence County Government Systems, Lawrence County
"	Government	Indiana	"
Unknown, Malware
"	"
February 7th, 2020
"	http://www.wbiw.com/2020/02/07/lawrence-countys-computer-network-attacked/	2020
" 
Lake County Government Systems, Lake County 
"	Government	Indiana	"
Unknown, Ransomware 
"	" 
August 23rd, 2019 
"	https://www.nwitimes.com/news/cyber-attack-forces-emergency-shutdown-of-lake-county-government-servers/article_a4b36fa8-61fa-5817-a243-a49c2982c1c8.html	2019
" 
Pike Township Government Systems, Marion County 
"	Government	Indiana	"
Unknown, Malware 
"	" 
June 30st, 2019 
"	https://www.wibc.com/news/local-news/pike-township-hit-computer-hackers	2019
 Vigo County Government Systems, Vigo County 	Government	Indiana	Unknown, Malware 	 July 23rd, 2019 	https://www.tribstar.com/news/local_news/malware-attack-hits-vigo-computers/article_0321fe67-5ba2-5903-9c82-61386f4c007a.html	2019
 La Porte County Government Systems 	Government	Indiana	Unknown, Malware	 July 7th, 2019	https://www.abc57.com/news/malware-attack-disables-government-computer-systems-in-laporte	2019
 Huntington County System, Huntington County 	Government	Indiana	Hacking, Other 	 May 17th, 2019 	https://indianaeconomicdigest.com/MobileContent/Default/Major-Indiana-News/Article/Indiana-State-Police-to-help-Huntington-officials-determine-from-where-city-computers-were-hacked/-3/5308/96204	2019
 Howard County Government Systems, Howard County 	Government	Indiana	Unknown, Malware 	 April 17th, 2019 	https://www.kokomotribune.com/news/local_news/howard-co-government-courts-hampered-after-malware-attack/article_63bf92be-6144-11e9-a577-d3ce8cf4d960.html	2019
 Vigo County Government 	Government	Indiana	Phishing, Malware 	 February 12th, 2019 	https://www.tribstar.com/news/local_news/nasty-virus-hit-vigo-county-s-computers/article_dd86dc3e-ff2d-5d1d-9a5f-dba988c82daa.html	2019
Indiana National Guard	Government	Indiana	Ransomware	October 18th, 2018	https://www.wishtv.com/news/indiana-news/indiana-national-guard-reports-ransomware-attack-to-server/1533938764	2018
McCordsville Manager Email Account, Hancock Co.	Government	Indiana	Phishing, Other	July 19th, 2018	http://www.greenfieldreporter.com/2018/07/19/town_managers_email_hacked/	2018
Federal Regulatory Energy Commission	Government	Indiana	Cryptojack/Other	March 23rd, 2018	http://www.staradvertiser.com/2018/03/23/breaking-news/fbi-iranian-hacked-computers-nationwide-including-hawaii/	2018
Michigan City Hall, Mayor's Administrator's Email	Government	Indiana	Phishing	March 5th, 2018	http://wsbt.com/news/local/malicious-emails-sent-throughout-michigan-city-look-like-they-come-from-city-hall	2018
Indiana State Website	Government	Indiana	Cryptojack/Other	February 12th, 2018	https://wccftech.com/government-websites-hijacked-mine-monero/	2018
Hartford City	Government	Indiana	Phishing	November 11th, 2017	https://www.thestarpress.com/story/news/crime/2017/11/16/police-woman-stole-city-funds-email-scam/872390001/	2017
Fayette County	Government	Indiana	Hack	September 8th, 2017	http://www.indianaeconomicdigest.net/main.asp?SectionID=31&SubSectionID=174&ArticleID=89361	2017
Franklin County Indiana Auditor System	Government	Indiana	Hack	August 24th, 2017	https://www.massivealliance.com/2017/08/24/cyber-attack-hits-franklin-county-indiana-financial-system/	2017
Marion & Brownsburg County	Government	Indiana	Ransomware	July 7th, 2017	http://fox59.com/2017/07/07/brownsburg-public-library-and-marion-county-fairgrounds-hit-by-ransomware-attacks/	2017
LaPorte County	Government	Indiana	Phishing	June 11th, 2017	http://www.nwitimes.com/news/local/laporte/laporte-county-buys-cyber-insurance/article_0d904d63-3a3d-5cff-8071-6e89f67c39f7.html	2017
Howard County	Government	Indiana	Ransomware	November 29th, 2016	http://kokomoperspective.com/kp/news/ransomware-targets-howard-county-government/article_9a6d8640-b5bb-11e6-854b-ff832671083f.html	2016
Hackers gained access, deployed ransomware in just 2 minutes, Indiana health system says, Johnson County	Medical	Indiana	"
Hacking, Ransomware
"	"
October, 5th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/hackers-gained-access-deployed-ransomware-in-just-2-minutes-indiana-health-system-says.html	
Schneck Medical Center hit with cyber attack, Jackson County 	Medical	Indiana	"
Hacking, Malware
"	"
September, 9th, 2021
"	https://www.localnewsdigital.com/2021/09/30/schneck-medical-center-gets-hit-with-cyber-attack/	
"
Summit Medical Associates, Allen County
"	Medical	Indiana	"
Unknown, Ransomware
"	"
August, 4th, 2020
"	https://www.prnewswire.com/news-releases/summit-medical-associates-provides-notice-of-a-data-breach-301106161.html	
"
Lafayette Regional Rehabilitation Hospital, Tippecanoe County
"	Medical	Indiana	"
Phishing, Data Breach
"	"
April 10th, 2020
"	https://www.databreaches.net/less-than-two-weeks-after-an-indiana-hospital-reported-a-phishing-related-hipaa-breach-they-had-a-second-one/	2020
" 
Select Health Network, St. Joseph County 
"	Medical	Indiana	"
Phishing, Data Breach 
"	" 
November 15th, 2019 
"	https://www.databreaches.net/select-health-network-reveals-compromise-of-employee-email-accounts-that-may-impact-an-unspecified-number-of-patients/	2019
"
Goshen Health, Elkhart County
"	Medical	Indiana	"
Phishing, Data Breach
"	"
October 2nd, 2019
"	https://www.elkharttruth.com/news/goshen-health-sends-notification-of-data-security-incident/article_e81b4cf3-9447-5c10-b7d6-8788145717a7.html	2019
Lutheran Health Network & Lutheran Hospital, Allen County	Medical	Indiana	Malware	September 18th, 2018	https://www.wane.com/news/local-news/lutheran-hospital-stops-computer-virus-attack-elective-cases-canceled/1457579175	2018
Purdue University Pharmacy Tippecanoe Co. & Family Health Clinic of Carroll Co.	Medical	Indiana	Hack	May 30th, 2018	https://www.jconline.com/story/news/local/purdue/2018/05/30/purdue-warns-patients-their-information-might-compromised/655611002/	2018
Allied Physicians of Michiana, St. Joseph County	Medical	Indiana	Ransomware	May 22nd, 2018	https://www.southbendtribune.com/news/business/cyberattackers-demand-ransom-from-allied-physicians-of-michiana/article_8199b04b-32ec-54fc-9aab-ddf4f6f266e7.html	2018
Adams Memorial Hospital	Medical	Indiana	Ransomware	January 18th, 2018	http://wane.com/2018/01/18/ransomware-attack-targets-adams-memorial-hospital/	2018
Hancock Health	Medical	Indiana	Ransomware	January 15th, 2018	http://www.greenfieldreporter.com/2018/01/13/a_ripple_effect/	2018
Waverly Health Center	Medical	Indiana	Ransomware	August 24th, 2016	http://kwayradio.com/whc-hit-by-ransomware-attack/	2016
Orleans Medical Clinic	Medical	Indiana	Hack	August 24th, 2016	https://www.databreaches.net/in-orleans-medical-clinic-patient-information-breach/	2016
DeKalb Health	Medical	Indiana	Ransomware	May 17th, 2016	https://www.securityweek.com/indiana-hospital-dekalb-health-disrupted-ransomware-attack	2016
King's Daughters' Health	Medical	Indiana	Ransomware	April 5th, 2016	https://www.beckershospitalreview.com/healthcare-information-technology/king-s-daughters-health-shut-down-computer-systems-after-ransomware-locky-encrypts-files.html	2016
Carmel Clay Schools notifying 15,817 after compromise of employee email accounts, Hamilton County	Education	Indiana	"Unknown, Data Breach
"	"
September 24th, 2021
"	https://www.databreaches.net/in-carmel-clay-schools-notifying-15817-after-compromise-of-employee-email-accounts/	2021
Eastern Hancock Hit with Ransomware Attack	Education	Indiana	"Hacking, Ransomware
"	"
May 25th, 2021
"	http://www.greenfieldreporter.com/2021/05/26/eastern_hancock_hit_with_ransomware_attack-3/	2021
"
Logansport schools Investigating network hack
"	Education	Indiana	"Hacking, Ransomware
"	"
April 27th, 2021
"	https://www.wlfi.com/content/news/Logansport-schools-investigating-network-hack-574290721.html	2021
"
Baugo Community Schools, Elkhart County
"	Education	Indiana	"
Unknown, DDoS
"	"
August 20th, 2020
"	https://www.abc57.com/news/virtual-learning-disrupted-at-baugo-community-schools-due-to-cyber-attack	2020
"
Community School Corporation of Southern Hancock County, Hancock County
"	Education	Indiana	"
Unknown, Malware
"	"
August 6th, 2020
"	https://www.wrtv.com/news/education/hancock-county-school-district-hit-by-cyber-attack-internet-connectivity-affected	2020
"
South Adams Schools District, Adams County
"	Education	Indiana	"
Unknown, Ransomware
"	"
February 20th, 2020
"	https://www.wane.com/news/local-news/south-adams-schools-hit-with-ransomware-cyber-attack/	2020
"
Penn-Harris-Madison schools, St. Joseph County
"	Education	Indiana	"
Unknown, Ransomware
"	"
November 14th, 2019
"	https://www.southbendtribune.com/news/education/penn-harris-madison-schools-working-to-restore-network-after-ransomware/article_fa7359e7-9805-51cd-94d3-34bd65edb461.html	2019
"
South Knox School Corporation, Knox County
"	Education	Indiana	"
Unknown, Malware
"	"
October 15th, 2019
"	https://www.wthitv.com/content/news/Malware-hits-South-Knox-School-Corporation-563169161.html	2019
 Northwestern Consolidated Schools, Shelby County 	Education	Indiana	Unknown, Ransomware 	 April 24th, 2019 	https://shelbycountypost.com/news/437161	2019
South Madison Community School Corporation, Madison County	Education	Indiana	Malware	December 6th, 2018 	http://www.pendletontimespost.com/2018/12/06/district_fends_off_computer_virus/	2018
Indiana State University	Education	Indiana	Phishing	July 28th, 2017	http://www.tribstar.com/news/local_news/isu-beats-back-phishing-attack/article_36d5d4ec-3ca9-549a-90be-2c2dbf0fbfe0.html	2017
Muscatine County CAD system & law enforcement, & City of Muscatine, Muscatine County	Safety	Iowa	Other, Ransomware	October 18th, 2018	http://www.muscatineiowa.gov/CivicAlerts.aspx?AID=760&ARC=1033	2018
"
City of LeClaire paid $222,373 to email scammers posing as vendors, Scott County
"	Government	Iowa	"
Phishing, Other
"	"
September 7th, 2021
"	https://qctimes.com/news/local/city-of-leclaire-paid-222-373-to-email-scammers-posing-as-vendors/article_c90fe0db-4ea3-514a-8ea1-e893fec87578.html	2021
"
City of West Des Moines, Polk County
"	Government	Iowa	"
Unknown, Malware
"	"
December 13th, 2019
"	https://whoradio.iheart.com/content/2019-12-13-west-des-moines-reports-cyber-attack-on-city-operations/	2019
" 
City of Ames, Story County 
"	Government	Iowa	"
Hacking, Data Breach 
"	" 
September 19th, 2019
"	https://geminiadvisory.io/second-wave-of-click2gov-breaches-hits-united-states/	2019
City of Ames, Story County	Government	Iowa	Other, Data Breach	November 30th, 2018	https://www.amestrib.com/news/20181130/data-breach-found-in-city8217s-parking-ticket-payment-system	2018
Dyersville Deputy Clerk Email, City of Dyersville, Dubuque County	Government	Iowa	Phishing, Other	September 24th, 2018	http://www.dyersvillecommercial.com/news/city-officials-do-not-open-email-from-lori-panton-titled/article_79392bc0-8943-54b1-b04a-b5e5fede7f33.html	2018
City of Keokuk	Government	Iowa	Phishing	February 5th, 2018	http://tspr.org/post/keokuk-data-breach-results-stolen-city-employee-information	2018
State of Iowa Election Hacking	Government	Iowa	Hack	September 22nd, 2017	http://www.nonpareilonline.com/news/iowa/federal-government-notifies-states-including-iowa-of-election-hacking/article_f70383fa-9fdf-11e7-91f4-3b44a0cf16d3.html	2017
Spencer Chamber of Commerce	Government	Iowa	Ransomware	August 13th, 2016	http://www.spencerdailyreporter.com/story/2330132.html	2016
Woodbury County	Government	Iowa	Ransomware	August 13th, 2016	https://techtalk.pcpitstop.com/2016/08/10/woodbury-county-ransomware/	2016
"
Ottumwa dental office experiences data breach, Wapello County
"	Medical	Iowa	"
Unknown, Ransomware
"	"
January 26th, 2022
"	https://www.ottumwacourier.com/news/ottumwa-dental-office-experiences-data-breach/article_f24f4722-7edd-11ec-a8f9-97b8d7fa621e.html	2022
"
Thousands of patients exposed after phishing attack on Iowa hospital, Wayne County
"	Medical	Iowa	"
Phishing, Data Breach
"	"
July 30th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/thousands-of-patients-exposed-after-phishing-attack-on-iowa-hospital.html/	2021
"
Peoples Community Health Clinic Issues Notice of Data Security Incident, Hawk County
"	Medical	Iowa	"
Unknown, Data Breach
"	"
June 29th, 2021
"	https://www.prnewswire.com/news-releases/peoples-community-health-clinic-impacted-by-netgain-cyber-incident-301322434.html/	2021
"
Mercy Iowa City Hospitals, Johnson County
"	Medical	Iowa	"
Hacking, Data Breach
"	"
November 18th, 2020
"	https://www.beckershospitalreview.com/cybersecurity/mercy-iowa-city-email-hack-exposed-info-of-60-000-patients-4-details.html	2020
"
UnityPoint Health, Polk County
"	Medical	Iowa	"
Unknown, Ransomware
"	"
September 17th, 2020
"	https://www.kcci.com/article/unitypoint-health-says-third-party-vendor-had-ransomware-attack-impacting-27000/34047943	2020
"
Monroe County Hospital & Clinics, Monroe County
"	Medical	Iowa	"
Phishing, Data Breach
"	"
February 17th, 2020
"	https://www.desmoinesregister.com/story/news/2020/02/17/monroe-iowa-county-hospital-patients-data-breach-victims/4790481002/	2020
 Graceland University, Decatur County 	Medical	Iowa	Phishing, Data Breach 	 June 15th, 2019 	https://www.bleepingcomputer.com/news/security/three-us-universities-disclose-data-breaches-over-two-day-span/	2019
"
Southern Hills Eye Care, Woodbury County Iowa 
"	Medical	Iowa	" 
Unknown, Ransomware
"	" 
March 29th, 2019 
"	https://www.databreaches.net/ia-southern-hills-eye-care-notifies-patients-of-ransomware-attack/	2019
Jones Eye Clinic, Woodbury County	Medical	Iowa	Ransomware	October 24th, 2018 	https://siouxcityjournal.com/news/local/cyber-attack-exposed-information-for-patients-of-sioux-city-vision/article_04bac729-e3ba-585f-8e9d-373d54601186.html	2018
UnityPoint Health, Polk Co., Dallas Co., Warren Co.	Medical	Iowa	Phishing, Data Breach	July 20th, 2018	https://www.desmoinesregister.com/story/news/health/2018/07/30/unitypoint-data-breach-million-patients-email-hack-hacked-phishing-e-mail-health-care-iowa/866760002/	2018
UnityPoint Health	Medical	Iowa	Phishing	April 15th, 2018	https://www.databreaches.net/unitypoint-health-notifying-patients-of-phishing-attack/	2018
Primary Health Care, Inc.	Medical	Iowa	Hack	March 16th, 2018	https://www.prnewswire.com/news-releases/notice-of-data-event-primary-health-care-inc-300615413.html	2018
Waverly Health Center	Medical	Iowa	Ransomware	June 14th, 2017	http://kwayradio.com/whc-hit-by-ransomware-attack/	2017
Iowa City’s Mercy Hospital	Medical	Iowa	Hack	March 30th, 2016	http://daily-iowan.com/2016/03/30/health-hack-reaches-ic/	2016
Union Community School District Victim of File Dump on Dark Web	Education	Iowa	"
Unknown, Ransomware
"	"
November 13th, 2020
"	https://www.databreaches.net/ia-union-community-school-district-publicly-silent-after-threat-actors-dump-files-on-dark-web/	2020
"
Charles City Schools, Floyd County
"	Education	Iowa	"
Unknown, Data Breach
"	"
November 13th, 2020
"	https://mailtribune.com/news/top-stories/jackson-county-website-down-after-ransomware-attack	2020
"
Timberline billing services, Polk County
"	Education	Iowa	"
Unknown, Data Breach
"	"
October 20th, 2020
"	https://www.oskaloosa.com/knoxville/ocsd-kcsd-experience-data-security-breach-of-student-info/article_a70d502c-1310-11eb-b3ab-c72b28ba609d.html	2020
 Graceland University, Decatur County 	Education	Iowa	Phishing, Data Breach 	 June 15th, 2019 	https://www.bleepingcomputer.com/news/security/three-us-universities-disclose-data-breaches-over-two-day-span/	2019
Johnston School District	Education	Iowa	Hack	October 5th, 2017	https://www.desmoinesregister.com/story/news/crime-and-courts/2017/10/05/dark-overlord-hacker-johnston-schools-threats/735950001/	2017
University of Iowa	Education	Iowa	Phishing	September 6th, 2017	http://daily-iowan.com/2017/09/06/ui-its-department-vigilant-against-hacking-schemes/	2017
University of Iowa	Education	Iowa	Hack	January 19th, 2017	https://www.databreaches.net/university-of-iowa-suspects-grade-tampering-reason-for-hawkid-security-breach/	2017
Attack on Butler County	Safety	Kansas	Ransomware	September 12th, 2017	http://www.knssradio.com/articles/ransomware-attack-hits-butler-county-network	2017
 Pottawatomie County pays hackers to restore computer systems after cyber attack  	Government	Kansas	"
Hacking, Malware
"	"
October 1st, 2021
"	https://www.wibw.com/2021/10/01/pottawatomie-co-pays-hackers-restore-computer-systems-after-cyber-attack/	2021
"
Sedgwick County Employee Email, Sedgwick County
"	Government	Kansas	"
Phishing, Other
"	"
May 7th, 2020
"	https://www.kansas.com/news/local/crime/article242581521.html#adnrb=900000	2020
City of Seneca, Nemaha County	Government	Kansas	Hacking, Other	December 20th, 2018	https://www.wibw.com/content/news/Hackers-attack-Senecas-computer-systems-customers-warned-of-breach-503267521.html	2018
City of Topeka, Shawnee County	Government	Kansas	Other, Data Breach	December 10th, 2018	https://www.hayspost.com/2018/12/10/10000-affected-by-reported-data-breach-attack-in-topeka/	2018
Dickinson County	Government	Kansas	Phishing, Other	August 31st, 2018	http://www.govtech.com/security/Kansas-County-Fortifies-Its-Defenses-After-Failed-Cyberattacks.html	2018
Finney County	Government	Kansas	Phishing, TDoS/DDoS	July 17th, 2018	http://www.gctelegram.com/news/20180717/county-network-shuts-down-again-due-to-virus	2018
City of Pittsburg	Government	Kansas	Phishing	February 6th, 2018	https://www.databreaches.net/pittsburgh-employees-notified-after-their-w-2-data-stolen-in-phishing-scheme/	2018
Harvey County	Government	Kansas	Hack	February 6th, 2018	http://www.thekansan.com/news/20180206/harvey-county-target-of-cyber-attack	2018
Butler County Network Department of Commerce	Government	Kansas	Ransomware	July 21st, 2017	http://www.ibtimes.com/kansas-data-breach-exposes-more-5-million-social-security-numbers-2569024	2017
"
Mowery Clinic in Salina announces data breach, Saline County
"	Medical	Kansas	"
Unknown, Data Breach
"	"
November 5th, 2021
"	https://www.salina.com/story/news/2021/11/05/salinas-mowery-clinic-says-its-victim-cyberattack-data-breach/6298154001/	2021
 Midwest Transplant Network, Johnson County	Medical	Kansas	Unknown, Ransomware	May 3rd, 2021 	https://www.kcur.org/health/2021-05-03/ransomware-attack-on-midwest-transplant-network-affects-more-than-17-000	2021
 Valley Hope Association, Norton County	Medical	Kansas	Phishing, Data Breach	January 19th, 2019 	https://www.databreaches.net/valley-hope-association-notifies-patients-after-employee-email-hack/	2019
Ransom Memorial Hospital, Franklin County	Medical	Kansas	Phishing, Data Breach	October 17th, 2018	https://www.kwch.com/content/news/15000---497831341.html	2018
Kansas Heart Hospital	Medical	Kansas	Ransomware	May 21st, 2016	https://www.kfdi.com/news/kansas-heart-hospital-hit-with-ransomware	2016
"
Wichita State University, Sedgwick County
"	Education	Kansas	"
Phishing, Date Breach
"	"
March 16th, 2020
"	https://www.databreaches.net/wichita-state-university-notifying-1762-iowans-whose-personal-info-was-accessed-by-hacker/	2020
Wichita State University, Sedgwick County 	Education	Kansas	Phishing, Other	January 3rd, 2019	https://www.tri-cityherald.com/news/business/national-business/article223888540.html	2019
Butler Community College	Education	Kansas	Hack	September 21st, 2017	https://www.hayspost.com/2017/09/21/cyber-attack-internet-connection-down-over-a-week-at-kansas-college/	2017
Arkansas City Schools	Education	Kansas	Phishing	March 14th, 2017	http://www.ksn.com/news/local/phishing-scam-hits-ark-city-schools-fbi-and-irs-investigating/898687248	2017
"
City of Frankfort, Franklin County
"	Government	Kentucky	"
Hacking, Ransomware
"	"
March 23rd, 2021
"	https://www.state-journal.com/news/city-it-server-hacked-sources-say-potential-ransom-involved/article_6604d82c-8c1c-11eb-9d74-e778480737dd.html	2021
"
Kentucky Office of Unemployment Insurance website, State of Kentucky
"	Government	Kentucky	"
Unknown, DDoS
"	"
February 24th, 2021
"	https://www.whas11.com/article/news/kentucky/potential-cyber-attack-on-kentucky-unemployment-system/417-f7675fcb-5a91-44f6-af52-03a04b4164f2	2021
"
Jefferson County PVA office, Jefferson County
"	Government	Kentucky	"
Unknown, Ransomware
"	"
December 21st, 2020
"	https://www.wdrb.com/news/business/jefferson-county-pva-office-hit-by-ransomware-attack/article_fdeb5286-43d0-11eb-81f1-770245866a54.html	2020
