year,critical_industry,size,digital,sector,country,policy,no_encryption,detected_by,paid,type,size_bin,id,capitalization,internet_sales,internet_sales_share,ransom,pay
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,197,50,134,32.92,7.36,Refuse
2017,Yes,Small,High,Construction,USA,Yes,Yes,,No,Laptop stolen,0,198,89,108,26.34,6.31,Refuse
2018,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Phishing attack,1,199,182,171,41.8,10.22,Refuse
2017,No,Small,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,System accessed via email platform,0,200,91,103,25.11,3.62,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Suspicious activity within network,0,201,42,72,17.63,4.45,Refuse
2014,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,0,202,128,83,20.4,3.79,Refuse
2018,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,2,203,326,241,58.93,17.8,Pay
2010,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical device stolen,0,204,81,70,17.02,4.64,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unencrypted drive stolen,1,205,218,100,24.45,10.25,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,0,206,90,102,24.88,5.43,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,2,207,310,169,41.39,16.51,Pay
2010,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unusual search command used to steal data,0,208,142,123,30.11,8.26,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",UK,Yes,Yes,,No,Malware installed,0,209,119,109,26.68,6.46,Refuse
2006,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Dismantled physical devices ad tampered with them,0,210,97,81,19.95,5.9,Refuse
2008,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,,Organisation,No,Unknown,0,211,115,117,28.55,5.44,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,France,Yes,Yes,Public,No,Unknown,0,212,112,112,27.34,5.42,Refuse
2018,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,213,298,230,56.28,17.33,Refuse
2019,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,214,222,271,66.27,17.6,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Virus installed,2,215,358,214,52.39,16.34,Pay
2012,Yes,Medium,High,IT and other information services,USA,Yes,,Organisation,No,Unknown,1,216,142,172,42.17,9.84,Refuse
2013,Yes,Medium,High,IT and other information services,USA,Yes,,Organisation,No,Known vulnerability within third party vendor (unauthorised access),1,217,208,122,29.94,11.55,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unencrypted drive stolen,0,218,150,125,30.68,7.67,Refuse
2013,Yes,Small,High,Finance and insurance,USA,Yes,,Federal Agency,No,Unknown,0,219,108,87,21.25,7.39,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,0,220,115,65,15.82,5.77,Refuse
2009,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Virus installed,0,221,110,97,23.86,5.98,Refuse
2010,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,222,89,109,26.71,7.33,Refuse
2009,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown,0,223,103,147,35.94,8.88,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Attacker accessed credit card information,1,224,171,149,36.5,10.77,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",Global,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,225,149,98,23.97,5.87,Refuse
2013,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unencrypted laptops stolen,0,226,74,113,27.62,5.69,Refuse
2010,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Physical device stolen,0,227,104,98,23.87,6.24,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical device stolen,0,228,141,165,40.33,11.14,Refuse
2016,Yes,Medium,Low,Transportation storage,USA,Yes,Yes,Credit card/bank,No,Web compromise exploiting vendor vulnerability,1,229,200,92,22.57,10.86,Refuse
2009,No,Medium,High,Advertising and other business services,UK,Yes,Yes,Organisation,No,Unknown,1,230,220,156,38.3,13.62,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,1,231,217,120,29.35,10.56,Refuse
2016,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unauthorised access to data,0,232,93,140,34.31,6.8,Refuse
2018,No,Small,Low-Medium,Residential care and social work activities,USA,Yes,,Organisation,No,Unauthorised access,0,233,68,93,22.78,7.28,Refuse
2018,No,Small,Low-Medium,Education,USA,Yes,No,Organisation,No,Employee stole data,0,234,74,96,23.55,2.98,Refuse
2014,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,235,88,99,24.33,6.24,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access,0,236,75,103,25.32,3.34,Refuse
2016,No,Medium,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Spam files found on servers,1,237,245,85,20.72,6.52,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Vendor tool (Bizmatics PrognoCIS) was hacked,0,238,92,83,20.33,5.41,Refuse
2012,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Hackers gained access through phishing email,0,239,88,102,25.08,3.98,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,240,95,79,19.37,4.79,Refuse
2016,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Attack on data using known vulnerability (suspected SQL injection attack),0,241,112,67,16.43,2.73,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Email accounts compromised,0,242,119,124,30.4,8.34,Refuse
2011,No,Small,High,Advertising and other business services,UK,Yes,,Organisation,No,Gave access to companies,0,243,150,120,29.31,7.17,Refuse
2017,Yes,Small,High,Finance and insurance,Global,Yes,Yes,,No,Exploited known vulnerability in consumer complaint web portal,0,244,98,83,20.31,5.73,Refuse
2014,Yes,Small,High,Finance and insurance,USA,Yes,,Public,No,Unknown attack on website,0,245,90,138,33.84,7.45,Refuse
2015,No,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Malware installed,0,246,144,94,23.07,8.29,Refuse
2013,Yes,Medium,High,IT and other information services,Global,Yes,No,Organisation,No,Unknown,1,247,204,100,24.44,10.84,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,248,151,91,22.4,7.38,Refuse
2014,Yes,Small,High,Finance and insurance,UK,Yes,,Organisation,No,Unauthorised access but unknown,0,249,101,71,17.48,2.25,Refuse
2009,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Public,No,Unknown,0,250,90,99,24.31,6.46,Refuse
2019,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Unauthorised access to employee email,1,251,179,107,26.29,7.29,Refuse
2019,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,252,298,220,53.99,17.4,Refuse
2013,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,,Organisation,No,Hacker attacked website and data system,1,253,265,167,40.77,10.51,Refuse
2018,No,Small,Medium-High,"Arts, entertainment and recreation",Global,Yes,,Organisation,No,Unknown,0,254,45,96,23.48,4.58,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical device stolen,0,255,142,102,24.98,7.4,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,256,265,192,46.9,17.23,Refuse
2017,Yes,Medium,Low,"Agriculture, forestry and fishing",USA,Yes,,Organisation,No,Ransomware,1,257,191,159,39.01,10.85,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malicious code inserted,1,258,224,171,41.76,11.92,Refuse
2009,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Computer hacked,0,259,75,113,27.76,3.96,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen with no encryption,0,260,66,127,31.15,8.93,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,1,261,228,134,32.82,9.37,Refuse
2006,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Laptop was stolen,0,262,191,110,26.89,9.29,Refuse
2014,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Phishing attack,0,263,107,130,31.78,5.73,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,,Public,No,Unauthorised access but unknown,0,264,99,132,32.31,8.47,Refuse
2014,Yes,Medium,Medium-High,Machine equipment,USA,Yes,Yes,Organisation,No,Malware installed,1,265,214,155,38.06,12.33,Refuse
2005,Yes,Small,Medium-High,Machine equipment,USA,,Yes,Organisation,No,Computer stolen,0,266,18,12,2.96,2.72,Refuse
2017,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,Yes,Public,No,Malware installed on PoS (normal PoS attack),0,267,97,89,21.82,6.39,Refuse
2017,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,Yes,Public,No,Malware was installed on additional PoS terminals giving access to card logs (separated  from earlier incident as different technique to other PoS attack  with historical credit log data taken),0,268,129,117,28.67,8.84,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown,0,269,112,66,16.26,2.38,Refuse
2017,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,,Public,No,Payment card data accessed on e-commerce website managed by third party provider,1,270,243,162,39.75,12.34,Refuse
2017,No,Large,High,Legal and accounting activities,USA,Yes,,Public,No,Unknown,2,271,292,280,68.46,22.35,Refuse
2017,Yes,Small,High,IT and other information services,USA,Yes,,Public,No,Unknown,0,272,127,71,17.43,4.63,Refuse
2012,No,Small,Medium-High,"Arts, entertainment and recreation",Germany,Yes,Yes,Public,No,Unknown,0,273,160,108,26.5,7.79,Refuse
2017,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,,Organisation,No,Phishing attack,0,274,135,87,21.24,3.73,Refuse
2007,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Laptop stolen from vendor's,0,275,85,48,11.77,3.66,Refuse
2011,Yes,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Public,No,Unknown attack on website,1,276,194,147,36.1,10.16,Refuse
2017,No,Large,High,Legal and accounting activities,USA,Yes,,Organisation,No,Device stolen,2,277,310,217,53.03,18.23,Pay
2010,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,0,278,121,127,31.14,9.67,Refuse
2010,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malicious code inserted into system,0,279,94,75,18.31,5.44,Refuse
2005,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,280,84,112,27.32,7.54,Refuse
2006,No,Small,Low-Medium,Education,USA,Yes,Yes,,No,Targeted a server,0,281,14,112,27.52,7.32,Refuse
2008,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Hard drive was stolen,0,282,76,146,35.66,6.38,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,283,115,106,25.93,5.32,Refuse
2009,Yes,Small,Medium-High,Public administration and defence,USA,Yes,No,Organisation,No,Laptop stolen,0,284,165,120,29.38,5.57,Refuse
2007,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Laptop stolen with no encryption,0,285,115,134,32.86,7.81,Refuse
2015,Yes,Medium,Low-Medium,Chemicals and chemical products,USA,Yes,,Organisation,No,Unauthorised access to website,1,286,163,117,28.6,11.7,Refuse
2011,Yes,Small,High,Finance and insurance,USA,Yes,,Public,No,Unknown,0,287,119,88,21.5,7.97,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,288,71,50,12.32,2.2,Refuse
2015,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Employee engaged unauthorised activity,0,289,105,104,25.54,4.35,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Malware targeting Android systems,0,290,38,140,34.23,7,Refuse
2007,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Computer accessed from off campus,0,291,115,58,14.16,4.56,Refuse
2016,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malicious code entered into website,1,292,189,184,45.02,14.5,Refuse
2017,No,Medium,High,Advertising and other business services,USA,Yes,Yes,,No,Malware installed on PoS,1,293,184,200,48.98,11.51,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Phishing attack,0,294,121,130,31.92,6.18,Refuse
2016,No,Medium,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Unknown,1,295,210,211,51.56,14.83,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,296,239,408,100,28.55,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,2,297,329,301,73.62,23.69,Pay
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,2,298,310,242,59.18,20.84,Pay
2007,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Malware installed,0,299,106,98,24.04,3.41,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Unknown,0,300,121,103,25.22,5.69,Refuse
2015,Yes,Small,High,IT and other information services,USA,Yes,Yes,Public,No,Malware installed on PoS,0,301,109,90,21.92,4.37,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,2,302,348,250,61.24,17.4,Pay
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Hard drive stolen,0,303,123,131,32.1,10.09,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen,0,304,155,143,34.95,7.35,Refuse
2008,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,305,133,147,36.03,7.14,Refuse
2015,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown,0,306,101,71,17.38,2.9,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,307,67,123,30.06,4.56,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Vendor (Premera) was attacked,0,308,113,89,21.72,6.94,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Email accounts compromised,0,309,88,70,17.26,5.21,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,310,145,112,27.35,4.77,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,0,311,52,99,24.35,4.06,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptops stolen,0,312,88,124,30.3,8.16,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,313,113,154,37.65,10.81,Refuse
2015,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Credit card/bank,No,Unauthorised access but unknown,0,314,95,131,32.1,7.44,Refuse
2008,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Credit card/bank,No,Code modified on web script,0,315,82,79,19.38,6.5,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,0,316,91,104,25.51,3.99,Refuse
2018,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Malware installed,0,317,119,142,34.87,9.6,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Email accounts compromised,0,318,127,135,33.11,8.97,Refuse
2006,No,Small,Medium-High,"Computer, electronic and optical products",Global,Yes,Yes,Organisation,No,Laptop stolen from Fidelity Investments,0,319,120,52,12.84,1.65,Refuse
2008,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,,Organisation,No,Laptop stolen,0,320,168,128,31.44,10.44,Refuse
2017,No,Large,High,Legal and accounting activities,USA,Yes,,Organisation,No,Unknown,2,321,339,214,52.43,18.58,Pay
2016,No,Large,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Hard drive stolen,2,322,278,264,64.66,20.99,Refuse
2014,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Public,No,Malware installed,0,323,135,90,21.98,6.49,Refuse
2015,No,Small,Low,Accommodation and food service activities,Global,Yes,Yes,Organisation,No,Malware installed,0,324,109,81,19.89,5.57,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,Yes,Virus installed,0,325,80,67,16.4,1.67,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Employee obtained data without authorised access to potentially use for fraudulent use,0,326,188,91,22.2,7.67,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Phishing attack,0,327,120,121,29.54,8.29,Refuse
2015,No,Small,Low-Medium,Residential care and social work activities,USA,Yes,,Organisation,No,Malware installed,0,328,79,143,35.03,6.7,Refuse
2011,Yes,Small,Medium-High,Machine equipment,Canada,Yes,,Organisation,No,Suspicious activity on websites,0,329,106,104,25.51,6.75,Refuse
2006,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,Employee obtained data without authorised access,0,330,90,98,23.95,6.94,Refuse
2013,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen,1,331,172,177,43.29,10.6,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,332,92,94,23,4.02,Refuse
2008,No,Large,High,Legal and accounting activities,USA,Yes,,Organisation,No,Laptop stolen,2,333,280,250,61.3,18.65,Refuse
2012,No,Medium,Low-Medium,Education,USA,Yes,No,Organisation,No,Malware installed,1,334,220,144,35.35,10.1,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen,0,335,72,129,31.49,9.42,Refuse
2014,Yes,Small,High,Finance and insurance,Turkey,Yes,Yes,Organisation,No,Unknown,0,336,104,68,16.54,4.25,Refuse
2018,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unknown,0,337,110,108,26.32,7.78,Refuse
2018,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unauthorised access to employee system,0,338,68,131,31.99,7.3,Refuse
2016,No,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Unauthorised access through phishing,1,339,165,146,35.79,8.81,Refuse
2017,No,Medium,High,Legal and accounting activities,USA,Yes,,Organisation,No,Phishing attack,1,340,253,141,34.49,11.64,Refuse
2017,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,,No,Malware installed,0,341,3,132,32.29,6.67,Refuse
2011,Yes,Small,High,IT and other information services,Global,Yes,Yes,Organisation,No,Hard drives stolen,0,342,92,113,27.55,5.51,Refuse
2013,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malware installed,1,343,243,142,34.8,13.69,Refuse
2016,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Unknown,0,344,101,65,15.95,5.87,Refuse
2007,Yes,Medium,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,345,187,148,36.35,11.2,Refuse
2015,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Hard drives stolen,1,346,204,91,22.24,7.57,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Virus installed,0,347,118,75,18.45,3.89,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Webcrawlers used to access the file,0,348,102,78,19.19,5.1,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,349,112,57,13.88,5.79,Refuse
2010,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Laptop stolen,0,350,67,101,24.78,5.09,Refuse
2019,Yes,Small,Low-Medium,Human health activities,Puerto Rico,,Yes,Organisation,No,Computer towers stolen,0,351,121,137,33.47,7.01,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,0,352,122,27,6.51,0.73,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Bizmatics hack,2,353,260,164,40.04,14.15,Refuse
2019,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,American Medical Collection Agency data breach,0,354,108,123,30.06,5.97,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed on PoS,0,355,141,94,23,7.53,Refuse
2018,Yes,Small,Medium-High,Machine equipment,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,356,112,77,18.84,4.83,Refuse
2016,No,Small,Low,Real estate,USA,Yes,Yes,Organisation,No,Vendor vulnerability,0,357,108,123,30.14,9.42,Refuse
2015,Yes,Small,High,IT and other information services,USA,Yes,,Organisation,No,Unknown,0,358,108,119,29.25,8.56,Refuse
2015,Yes,Small,High,Finance and insurance,UAE,Yes,,Organisation,No,Unknown,0,359,113,103,25.19,4.69,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Servers hacked,0,360,132,72,17.73,6.41,Refuse
2015,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Unknown,0,361,114,79,19.31,4.54,Refuse
2018,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Phishing attack,0,362,120,51,12.61,3.27,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Credit card/bank,No,Malware was installed on PoS,0,363,66,156,38.3,8.18,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malware installed on PoS,1,364,189,150,36.81,10.95,Refuse
2014,Yes,Small,Low,Transportation storage,Japan,Yes,,Organisation,No,Malware installed,0,365,89,95,23.34,7.13,Refuse
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Credit card/bank,No,RAM scraping malware was installed on PoS terminals,0,366,144,77,18.94,3.68,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,367,286,158,38.65,16.78,Refuse
2017,No,Medium,High,Legal and accounting activities,USA,Yes,No,Organisation,No,Phishing attack,1,368,164,157,38.46,9.59,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malicious code injected into the website,1,369,120,121,29.75,11.42,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,PoS system was compromised using credentials,0,370,63,35,8.61,1.21,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,File containing data outside of encryption was hacked,0,371,108,87,21.33,4.89,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unknown attack on website,1,372,199,97,23.82,7.53,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,External hard drive stolen,2,373,338,280,68.58,22.71,Pay
2014,Yes,Small,High,Finance and insurance,USA,Yes,Yes,,No,Server was hacked due to lack of proper authentication,0,374,112,84,20.45,6.08,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Code was injected into the website,1,375,199,139,34.08,9.26,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,376,129,58,14.18,6.5,Refuse
2009,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unknown attack  but file ended up online,0,377,90,172,42,8.27,Refuse
2017,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Unknown,0,378,105,126,30.9,5.3,Refuse
2016,No,Medium,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Hard drives stolen,1,379,249,56,13.8,5.33,Refuse
2006,Yes,Small,High,Telecommunications,Japan,Yes,Yes,Public,No,Only found out after they were told that someone possessed  a CD Rom,0,380,47,54,13.21,5.45,Refuse
2017,No,Medium,Low,Real estate,USA,Yes,,Organisation,No,Unauthorised access but unknown,1,381,140,200,49.02,11.38,Refuse
2015,No,Medium,High,Advertising and other business services,USA,Yes,,Organisation,No,Unknown,1,382,180,171,41.8,14.08,Refuse
2012,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,Laptop was stolen,0,383,110,134,32.82,8.78,Refuse
2016,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Unknown,0,384,80,131,32.16,4.78,Refuse
2014,No,Medium,High,Finance and insurance,Global,Yes,Yes,Federal Agency,No,Unknown,1,385,226,121,29.55,11.52,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unknown,0,386,93,118,28.82,7.59,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Public,No,Malware installed on PoS,0,387,64,112,27.42,6.56,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Public,No,Unauthorised access through vendor,0,388,112,104,25.55,6.97,Refuse
2018,Yes,Small,Low-Medium,Basic metals and fabricated metal products,USA,Yes,,Organisation,No,Unknown,0,389,120,119,29.03,5.62,Refuse
2016,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Suspicious activity within network,1,390,210,150,36.84,12.88,Refuse
2007,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Suspicious activity within network,0,391,91,69,16.9,4.87,Refuse
2014,Yes,Medium,High,Finance and insurance,USA,Yes,No,Organisation,No,Computers stolen,1,392,204,145,35.51,9.36,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malware installed on PoS,0,393,155,81,19.72,3.56,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access to emails,1,394,181,100,24.53,8.2,Refuse
2012,No,Small,High,Advertising and other business services,USA,Yes,,Organisation,No,Malware installed,0,395,120,70,17.13,2.32,Refuse
2012,Yes,Small,High,IT and other information services,South Korea,Yes,,Organisation,No,Unknown,0,396,128,95,23.27,4.06,Refuse
